ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,Metadata,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.31,0.56,0.81,1042.27,34.4,-17.96,-38.71,24.0,22.2,3.0,2.1,294.0,1000.0,,879.87,541.0,0.1,34.14,-12.21,1.07,-0.02,0.0,0.0,4.0,2019-12-07 11:47:40,
0.0,0.8,0.67,1045.14,30.61,-17.97,-38.73,-0.6,0.0,3.1,2.18,240.9,998.0,,638.81,447.6,0.0,3.51,133.56,4.06,0.01,0.0,0.0,4.0,2019-12-07 11:57:40,60.0
0.48,0.13,0.93,1045.22,28.73,-17.98,-38.78,1.3,46.1,2.96,3.24,312.09,997.0,,35893.12,22861.14,40.85,40.09,89.36,8.9,0.01,0.0,0.0,4.0,2019-12-07 12:07:40,60.0
0.62,1.5,1.56,1044.87,28.3,-17.98,-38.85,-20.0,44.4,3.0,2.4,236.0,996.0,,775.78,492.7,0.0,54.26,-26.01,16.7,0.01,0.0,0.0,4.0,2019-12-07 12:18:40,60.0
-0.06,0.69,0.53,1044.67,27.5,-17.98,-38.86,3.78,0.0,2.89,2.47,262.11,996.0,,599.94,415.36,-0.09,2.83,-141.84,17.08,0.01,0.0,0.0,4.0,2019-12-07 12:28:40,60.0
-0.06,-0.19,0.0,1044.73,27.0,-17.99,-38.88,30.0,44.4,3.0,2.4,243.0,996.0,,892.54,560.85,0.0,39.68,6.46,19.56,0.01,0.0,0.0,4.0,2019-12-07 12:38:40,60.0
0.12,0.76,0.58,1045.52,27.61,-17.99,-38.89,-6.0,0.0,3.0,2.4,279.7,996.9,,655.29,450.27,0.0,1.61,-173.64,21.07,0.02,0.0,0.0,4.0,2019-12-07 12:49:40,60.0
0.06,0.56,0.62,1045.35,27.4,-18.0,-38.89,1.2,0.0,2.9,2.84,287.4,996.9,,672.86,449.52,0.0,5.76,-121.77,20.96,0.01,0.0,0.0,4.0,2019-12-07 12:59:40,60.0
0.12,0.67,0.67,1045.65,27.4,-18.0,-38.89,64.0,0.41,2.11,1.58,250.89,996.0,,634.32,416.69,-0.08,4.73,-69.87,21.05,0.02,0.0,0.0,4.0,2019-12-07 13:09:40,60.0
0.25,0.56,0.62,1045.2,27.0,-18.0,-38.9,-18.0,0.0,4.0,1.2,230.0,996.0,,686.49,443.17,0.0,3.55,180.0,21.91,0.01,0.0,0.0,4.0,2019-12-07 13:20:40,60.0
0.25,0.69,0.69,1045.27,27.0,-18.0,-38.9,-4.0,0.0,5.0,1.1,253.0,996.0,,721.13,448.47,0.0,0.38,-141.74,22.0,0.01,0.0,0.0,4.0,2019-12-07 13:30:40,60.0
0.29,0.46,0.52,1045.25,26.9,-18.0,-38.9,-3.0,0.0,4.0,1.2,249.6,996.0,,702.51,444.14,0.0,2.03,-38.55,22.09,0.01,0.0,0.0,4.0,2019-12-07 13:40:40,60.0
0.11,0.66,0.49,1045.32,26.9,-18.0,-38.9,-0.8,0.0,4.0,1.28,265.0,996.0,,703.63,447.53,0.0,1.93,88.08,22.19,0.01,0.0,0.0,4.0,2019-12-07 13:51:40,60.0
0.51,0.51,0.86,1044.32,26.6,-18.01,-38.93,63.2,35.52,3.0,5.3,285.8,995.8,,831.08,519.24,0.0,30.33,-3.34,25.64,0.0,0.0,0.0,4.0,2019-12-07 14:01:40,60.0
0.33,0.59,0.66,1044.65,26.4,-18.03,-38.97,6.4,26.27,3.0,6.07,297.5,995.7,,861.93,543.09,0.0,30.26,-6.9,29.52,0.01,0.0,0.0,4.0,2019-12-07 14:11:40,60.0
0.07,0.38,0.76,1045.05,27.0,-18.03,-38.98,-4.2,0.0,3.0,2.1,235.7,996.0,,633.09,452.48,0.0,7.56,-97.27,31.02,0.01,0.0,0.0,4.0,2019-12-07 14:22:40,60.0
