ax,ay,az,pressure,temperature,lat,lon,height.msl,ground.speed,satellites,hdop,signal.strength,Sensor.Raw,odba,ve_odba,gaps,step_speed,step_direction,dist_to_nest,depth,is_diving,dive,trip,datetime,time_diff
0.19,0.19,1.31,1020.13,23.5,-17.92,-38.67,10.0,22.2,4.0,2.1,224.0,992.0,68916.59,50291.36,0.0,21.82,113.83,5.46,0.0,0.0,0.0,1.0,2023-10-02 08:00:00,
0.19,0.26,0.75,1021.35,22.96,-17.79,-38.56,8.4,47.43,5.0,1.06,235.4,992.4,69488.45,50601.64,0.0,37.18,0.57,24.07,0.01,0.0,0.0,1.0,2023-10-02 08:36:00,60.0
0.19,0.0,0.75,1022.53,24.18,-17.65,-38.41,7.19,34.11,4.8,1.02,198.88,993.0,71110.41,51445.18,0.0,37.66,13.03,46.25,0.03,0.0,0.0,1.0,2023-10-02 09:12:00,60.0
0.19,0.0,1.03,1022.47,24.49,-17.49,-38.33,4.55,30.85,3.48,1.83,279.03,993.76,67164.64,49179.05,0.02,28.6,-8.45,65.31,0.03,0.0,0.0,1.0,2023-10-02 09:49:00,60.0
0.12,0.0,1.06,1023.18,24.53,-17.32,-38.28,2.01,41.94,5.0,2.0,277.39,994.33,61059.07,45398.66,-0.03,35.3,4.96,83.51,0.03,0.0,0.0,1.0,2023-10-02 10:25:00,60.0
0.16,0.14,0.98,1042.58,24.55,-17.26,-38.14,-32.13,49.92,4.87,1.39,239.73,993.0,68853.57,50438.53,-0.01,33.16,44.13,98.13,0.23,0.0,0.0,1.0,2023-10-02 11:02:00,60.0
0.11,0.11,0.79,1024.7,25.48,-17.29,-37.93,15.56,53.87,4.0,1.31,323.4,994.53,70884.54,51638.76,0.0,39.8,7.27,110.49,0.05,0.0,0.0,1.0,2023-10-02 11:38:00,60.0
0.38,0.19,1.12,1346.69,25.3,-17.33,-37.81,53.97,22.2,4.0,1.4,321.84,995.0,72428.3,53337.02,0.0,20.58,-116.06,117.8,3.26,1.0,2.0,1.0,2023-10-02 12:15:00,60.0
0.34,0.04,1.28,1081.55,24.83,-17.4,-37.61,-21.64,42.37,3.6,2.94,224.96,993.4,71734.57,53173.56,-0.0,29.91,1.33,131.37,0.61,0.0,0.0,1.0,2023-10-02 12:51:00,60.0
0.11,0.16,0.9,1026.49,27.62,-17.41,-37.59,159.58,14.61,4.0,9.4,207.86,996.0,56883.36,41041.2,0.0,2.09,9.95,132.06,0.07,0.0,0.0,1.0,2023-10-02 13:27:00,60.0
0.0,0.0,0.8,1027.22,27.58,-17.42,-37.59,9.37,0.0,3.76,1.3,244.78,995.24,50482.62,41083.03,0.01,0.94,12.82,131.74,0.07,0.0,0.0,1.0,2023-10-02 14:04:00,60.0
0.12,-0.12,1.0,1025.61,27.23,-17.42,-37.59,11.38,0.0,4.0,1.3,221.34,994.66,47512.89,40599.11,-0.0,0.8,-26.95,131.31,0.06,0.0,0.0,1.0,2023-10-02 14:40:00,60.0
0.02,-0.14,0.61,1026.74,25.49,-17.42,-37.58,20.99,9.29,3.13,3.14,189.04,991.38,57027.51,42645.53,0.01,5.7,-19.67,132.26,0.07,0.0,0.0,1.0,2023-10-02 15:17:00,60.0
0.0,0.0,0.84,1025.06,29.2,-17.4,-37.48,19.69,7.79,3.53,8.1,202.0,997.1,57157.05,44094.16,-0.0,7.64,43.99,143.38,0.05,0.0,0.0,1.0,2023-10-02 15:53:00,60.0
0.19,0.19,0.75,1022.78,26.51,-17.41,-37.35,17.94,44.34,3.0,4.32,220.81,995.01,70786.91,52428.29,0.0,37.64,20.51,155.39,0.03,0.0,0.0,1.0,2023-10-02 16:30:00,60.0
0.0,0.19,0.86,1021.78,26.89,-17.33,-37.16,41.28,43.94,3.0,3.26,279.14,994.57,66089.9,50736.78,0.0,40.58,-1.99,177.66,0.02,0.0,0.0,1.0,2023-10-02 17:06:00,60.0
0.06,0.06,0.32,1374.04,27.48,-17.31,-36.96,46.97,37.55,3.0,3.22,269.17,995.23,77336.22,57587.78,0.02,35.18,-55.21,197.41,3.53,0.77,1.54,1.0,2023-10-02 17:42:00,60.0
0.14,-0.33,0.75,1061.17,26.0,-17.26,-36.93,11.91,31.03,3.0,1.56,191.82,988.74,58733.37,42617.4,-0.04,8.63,-9.01,202.35,0.41,0.0,0.0,1.0,2023-10-02 18:19:00,60.0
-0.19,-0.25,1.0,1025.69,26.0,-17.25,-36.93,18.05,0.0,3.0,5.63,120.02,989.0,57439.23,42787.17,0.0,0.37,-47.57,203.09,0.06,0.0,0.0,1.0,2023-10-02 18:55:00,60.0
-0.16,-0.14,0.91,1023.46,24.55,-17.25,-36.93,16.43,4.17,3.13,2.4,171.33,990.0,54051.12,40298.78,-0.05,0.54,12.56,202.81,0.04,0.0,0.0,1.0,2023-10-02 19:32:00,60.0
-0.1,-0.09,1.12,1023.18,24.14,-17.25,-36.93,23.27,0.0,4.0,2.14,158.87,988.0,56022.28,44118.5,0.0,0.79,-57.53,202.68,0.03,0.0,0.0,1.0,2023-10-02 20:08:00,60.0
0.19,-0.0,0.56,1024.96,24.5,-17.26,-36.93,-10.0,0.0,4.0,1.2,257.86,8.28,54405.07,42568.28,0.0,0.2,51.38,202.6,0.05,0.0,0.0,1.0,2023-10-02 20:45:00,60.0
0.3,-0.19,0.94,1025.48,24.54,-17.26,-36.94,-2.69,0.0,3.0,2.68,195.21,19.24,54064.33,40527.11,0.0,0.89,-1.68,202.12,0.06,0.0,0.0,1.0,2023-10-02 21:21:00,60.0
0.33,0.0,0.9,1025.46,24.75,-17.26,-36.94,12.8,0.84,4.54,1.52,261.16,8.82,55774.8,42577.5,0.02,0.75,-3.28,201.6,0.06,0.0,0.0,1.0,2023-10-02 21:57:00,60.0
0.19,-0.14,0.99,1026.18,24.6,-17.26,-36.95,24.52,0.0,4.0,1.33,219.84,10.67,51569.35,40680.21,0.0,0.9,-5.61,201.08,0.06,0.0,0.0,1.0,2023-10-02 22:34:00,60.0
0.19,-0.12,1.0,1027.34,24.6,-17.27,-36.95,12.64,0.0,4.0,2.2,211.34,7.0,52271.06,40555.91,0.0,0.96,-8.33,200.55,0.07,0.0,0.0,1.0,2023-10-02 23:10:00,60.0
0.21,-0.02,0.8,1027.47,24.6,-17.27,-36.95,2.03,3.23,4.0,4.34,200.65,8.55,52160.67,40492.41,-0.0,1.03,-1.66,200.06,0.08,0.0,0.0,1.0,2023-10-02 23:47:00,60.0
0.73,0.27,2.03,1027.88,24.46,-17.26,-36.96,-80.85,16.16,2.97,4.27,228.64,468.63,57547.51,43300.82,0.01,3.5,30.45,199.74,0.08,0.0,0.0,1.0,2023-10-03 00:23:00,60.0
